date,country,device,category,product,revenue,order_cnt
2020-11-06,Slovakia,mobile,Children's furniture,TROFAST,5,1
2020-11-10,United States,desktop,Children's furniture,TROFAST,590,5
2020-11-24,United States,desktop,Children's furniture,TROFAST,995,4
2020-11-26,United States,desktop,Children's furniture,TROFAST,425,3
2020-12-03,Spain,desktop,Children's furniture,TROFAST,5,1
2020-12-08,United States,desktop,Children's furniture,TROFAST,920,6
2020-12-09,El Salvador,mobile,Children's furniture,TROFAST,5,1
2020-12-17,Australia,desktop,Children's furniture,TROFAST,5,1
2020-12-18,Spain,desktop,Children's furniture,TROFAST,5,1
2020-12-19,United States,desktop,Children's furniture,TROFAST,20,2
2020-12-22,United States,mobile,Children's furniture,TROFAST,380,3
2020-12-24,Bangladesh,desktop,Children's furniture,TROFAST,5,1
2021-01-03,Peru,desktop,Children's furniture,TROFAST,5,1
2021-01-04,India,desktop,Children's furniture,TROFAST,35,2
2021-01-09,United States,mobile,Children's furniture,TROFAST,485,3
2021-01-10,United States,mobile,Children's furniture,TROFAST,830,5
2021-01-10,Brazil,desktop,Children's furniture,TROFAST,5,1
2021-01-11,Spain,desktop,Children's furniture,TROFAST,5,1
2021-01-14,Canada,desktop,Children's furniture,TROFAST,15,2
2021-01-18,India,mobile,Children's furniture,TROFAST,5,1
2021-01-18,(not set),mobile,Children's furniture,TROFAST,5,1
2021-01-21,Thailand,mobile,Children's furniture,TROFAST,5,1
2020-11-02,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-11-03,China,mobile,Beds,LYCKSELE LÖVÅS,495,1
2020-11-04,United States,mobile,Beds,LYCKSELE LÖVÅS,495,1
2020-11-08,Canada,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-11-24,Canada,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-11-24,South Korea,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-11-25,Canada,mobile,Beds,LYCKSELE LÖVÅS,495,1
2020-11-30,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-01,Japan,mobile,Beds,LYCKSELE LÖVÅS,495,1
2020-12-03,India,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-03,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-06,Italy,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-10,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-16,Poland,mobile,Beds,LYCKSELE LÖVÅS,495,1
2020-12-16,India,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-17,India,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-22,Chile,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-23,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-12-29,Poland,desktop,Beds,LYCKSELE LÖVÅS,495,1
2021-01-05,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2021-01-09,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2021-01-10,United States,mobile,Beds,LYCKSELE LÖVÅS,495,1
2021-01-18,United States,mobile,Beds,LYCKSELE LÖVÅS,495,1
2021-01-20,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2021-01-24,United States,desktop,Beds,LYCKSELE LÖVÅS,1840,2
2021-01-26,United States,desktop,Beds,LYCKSELE LÖVÅS,495,1
2020-11-04,United States,mobile,Beds,MYDAL,795,1
2020-11-13,United States,desktop,Beds,MYDAL,795,1
2020-11-19,United States,desktop,Beds,MYDAL,795,1
2020-12-02,United States,desktop,Beds,MYDAL,795,1
2020-12-15,Israel,desktop,Beds,MYDAL,795,1
2020-12-17,Mexico,desktop,Beds,MYDAL,795,1
2020-12-23,United States,mobile,Beds,MYDAL,795,1
2020-12-27,United States,desktop,Beds,MYDAL,795,1
2021-01-12,Brazil,desktop,Beds,MYDAL,795,1
2021-01-24,United States,desktop,Beds,MYDAL,795,1
2020-11-04,United Kingdom,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-05,India,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-07,Poland,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-07,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-15,Canada,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-15,Romania,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-16,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-18,Austria,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-18,Netherlands,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-26,United Kingdom,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-29,Mexico,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-30,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-30,United States,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-07,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-07,India,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-10,India,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-11,India,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-13,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-15,United States,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-21,India,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-23,Ukraine,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-12-28,Turkey,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2021-01-03,Peru,mobile,"Sideboards, buffets & console tables",LIATORP,445,1
2021-01-03,China,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2021-01-12,United States,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2021-01-25,Thailand,desktop,"Sideboards, buffets & console tables",LIATORP,445,1
2020-11-01,United States,desktop,Bookcases & shelving units,LIATORP,995,1
2020-11-22,United States,mobile,Bookcases & shelving units,LIATORP,995,1
2020-11-27,United States,desktop,Bookcases & shelving units,LIATORP,995,1
2020-11-29,Canada,desktop,Bookcases & shelving units,LIATORP,995,1
2020-11-29,India,mobile,Bookcases & shelving units,LIATORP,995,1
2020-12-14,Poland,desktop,Bookcases & shelving units,LIATORP,995,1
2020-12-18,Ireland,desktop,Bookcases & shelving units,LIATORP,995,1
2021-01-08,United States,desktop,Bookcases & shelving units,LIATORP,995,1
2021-01-16,United States,mobile,Bookcases & shelving units,LIATORP,995,1
2021-01-21,Israel,desktop,Bookcases & shelving units,LIATORP,995,1
2021-01-22,Germany,desktop,Bookcases & shelving units,LIATORP,995,1
2021-01-26,India,desktop,Bookcases & shelving units,LIATORP,995,1
2020-11-02,United States,desktop,Bar furniture,INGOLF,395,1
2020-11-03,India,mobile,Bar furniture,INGOLF,395,1
2020-11-09,Spain,mobile,Bar furniture,INGOLF,395,1
2020-11-18,United States,mobile,Bar furniture,INGOLF,395,1
2020-11-25,India,desktop,Bar furniture,INGOLF,395,1
2020-11-28,United States,desktop,Bar furniture,INGOLF,395,1
2020-12-01,United States,desktop,Bar furniture,INGOLF,740,2
2020-12-07,India,desktop,Bar furniture,INGOLF,395,1
2020-12-08,United States,mobile,Bar furniture,INGOLF,395,1
2020-12-17,United Kingdom,mobile,Bar furniture,INGOLF,395,1
2021-01-08,United States,mobile,Bar furniture,INGOLF,395,1
2021-01-11,United States,desktop,Bar furniture,INGOLF,395,1
2021-01-16,Brazil,mobile,Bar furniture,INGOLF,395,1
2021-01-20,United States,mobile,Bar furniture,INGOLF,395,1
2021-01-24,United States,desktop,Bar furniture,INGOLF,395,1
2021-01-27,Colombia,desktop,Bar furniture,INGOLF,395,1
2020-11-02,Canada,desktop,Chairs,HENRIKSDAL,225,1
2020-11-06,Canada,desktop,Chairs,HENRIKSDAL,225,1
2020-11-06,United States,desktop,Chairs,HENRIKSDAL,275,2
2020-11-16,Canada,desktop,Chairs,HENRIKSDAL,225,1
2020-11-16,India,desktop,Chairs,HENRIKSDAL,225,1
2020-11-20,Egypt,mobile,Chairs,HENRIKSDAL,225,1
2020-11-27,Canada,desktop,Chairs,HENRIKSDAL,225,1
